mal_id,score,scored_by,rank,popularity,members,favorites,snapshot_date
87,6.59,345025,589,10117,625796,4494,2026-08-03
88,6.66,174946,4807,5874,332952,24575,2026-08-03
89,6.31,184073,3946,8154,226475,38227,2026-08-03
90,8.15,166149,6952,11311,205873,16400,2026-08-03
91,5.84,400389,6485,4498,589586,540,2026-08-03
92,7.11,143923,9496,5978,195864,8622,2026-08-03
93,7.58,566110,4211,7895,758924,19352,2026-08-03
94,7.73,277804,4296,9578,560122,24980,2026-08-03
95,7.39,66787,2291,743,311196,2448,2026-08-03
96,7.6,566932,1623,8018,787675,26756,2026-08-03
97,7.71,385678,3110,2002,672134,29810,2026-08-03
98,6.97,581628,2418,9765,691238,195,2026-08-03
99,6.07,27532,5305,259,97634,11429,2026-08-03
100,7.91,380125,3630,10078,650209,2851,2026-08-03
101,7.27,113706,9967,2431,371748,4314,2026-08-03
102,6.4,120471,6780,5554,410529,29730,2026-08-03
103,6.49,267771,1495,1399,465012,6119,2026-08-03
104,8.16,128668,843,4713,345050,39358,2026-08-03
105,6.42,506112,4565,9407,624680,14831,2026-08-03
106,9.02,594330,8692,3525,805456,24664,2026-08-03
107,6.89,89583,1337,4459,118165,29049,2026-08-03
108,5.99,510771,9820,898,788036,513,2026-08-03
109,7.18,126312,2117,6230,131364,34913,2026-08-03
110,9.26,328767,1888,6637,554835,1376,2026-08-03
111,7.09,111505,1289,6485,240072,20344,2026-08-03
112,4.41,366846,4194,3233,551923,11380,2026-08-03
113,6.65,471211,7206,1119,768167,30741,2026-08-03
114,6.5,387149,9734,8308,538660,25207,2026-08-03
115,6.87,499233,5627,11704,763093,5536,2026-08-03
116,7.38,297135,9796,858,501252,21941,2026-08-03
117,7.69,158177,5083,10749,333954,25697,2026-08-03
118,6.02,552463,5941,5061,602459,11823,2026-08-03
119,4.25,566490,2148,9786,843544,24698,2026-08-03
120,5.75,249568,8750,3919,483456,20291,2026-08-03
121,7.23,527835,2268,4097,805375,3429,2026-08-03
122,7.36,471645,3638,7392,741789,22920,2026-08-03
123,7.13,86069,5494,2393,283631,9027,2026-08-03
124,7.25,268855,4721,3894,382920,19746,2026-08-03
125,6.81,524608,2353,4773,806654,28140,2026-08-03
126,6.14,378620,7703,714,415103,25364,2026-08-03
127,5.63,253338,727,5773,308687,35793,2026-08-03
128,6.24,39280,5171,5081,194128,33786,2026-08-03
129,4.22,374814,7160,6554,400877,28828,2026-08-03
130,6.75,445620,4814,5263,488000,6733,2026-08-03
131,7.25,465971,7127,4499,651282,3769,2026-08-03
132,7.74,459957,6002,5934,479201,25100,2026-08-03
133,7.98,385274,1859,425,594958,12202,2026-08-03
134,7.13,515560,2829,11688,621511,29180,2026-08-03
135,8.28,183047,2276,3879,373573,32386,2026-08-03
136,7.1,418000,1209,2054,669958,20786,2026-08-03
137,6.53,454133,2508,4983,718778,10800,2026-08-03
138,7.71,288282,2763,9697,354907,38063,2026-08-03
139,9.4,85668,6826,10128,110503,1994,2026-08-03
140,7.15,461459,9940,2354,680364,20495,2026-08-03
141,6.97,253980,2309,1587,499545,3326,2026-08-03
142,6.08,522969,380,1476,793833,25781,2026-08-03
143,8.52,295523,8794,134,555990,7054,2026-08-03
144,5.64,204610,8262,7379,395676,36045,2026-08-03
145,7.64,383866,660,743,460503,2560,2026-08-03
146,7.68,412542,9223,4912,570426,31132,2026-08-03
147,6.4,28441,842,9561,278262,31496,2026-08-03
148,5.27,200551,6766,11314,211479,13372,2026-08-03
149,6.05,217913,6174,5141,512979,11359,2026-08-03
150,7.09,585696,3397,11309,743195,32057,2026-08-03
151,7.57,570076,4759,690,770145,18860,2026-08-03
152,7.21,589818,832,10975,733225,34812,2026-08-03
153,6.03,495851,7794,7823,549565,13081,2026-08-03
154,5.58,39610,6505,8117,132394,12220,2026-08-03
155,6.19,298884,8262,7669,538093,17890,2026-08-03
156,7.79,309855,8443,5373,608535,5694,2026-08-03
157,6.89,273953,4948,9544,476056,37554,2026-08-03
158,6.41,527430,3619,3591,691472,8763,2026-08-03
159,7.85,229521,7320,8654,360264,23719,2026-08-03
160,6.16,546117,9555,8009,778768,5969,2026-08-03
161,6.65,485338,3571,9476,647907,4796,2026-08-03
162,8.04,301536,6888,6136,516900,25076,2026-08-03
163,6.69,365163,2087,11926,428360,14604,2026-08-03
164,7.17,363474,6869,10075,445802,1035,2026-08-03
165,6.06,51540,8844,3560,180851,3709,2026-08-03
166,7.09,248911,4924,4509,408122,4004,2026-08-03
167,4.79,437048,8814,7759,652093,15802,2026-08-03
168,5.83,556236,5412,10596,627539,5191,2026-08-03
169,7.4,282002,3083,9627,480746,36634,2026-08-03
170,6.97,123514,3922,9046,375606,21087,2026-08-03
171,7.49,521933,3329,6074,767253,20517,2026-08-03
172,5.42,438362,6224,9336,594127,16114,2026-08-03
173,6.32,369783,8883,10516,459526,3859,2026-08-03
174,7.81,71769,991,10123,151952,31677,2026-08-03
175,7.98,288586,1754,1579,570467,34376,2026-08-03
176,6.92,426250,1321,10711,667897,2086,2026-08-03
177,6.37,180208,5428,9271,224559,6259,2026-08-03
178,8.28,294492,5153,257,580196,13586,2026-08-03
179,6.03,252653,2293,11294,550764,5149,2026-08-03
180,5.79,416473,8039,3738,588588,23328,2026-08-03
181,8.39,310227,6226,11661,440437,10120,2026-08-03
182,6.84,92037,431,1469,191284,23204,2026-08-03
183,6.29,587216,6238,2778,715482,9109,2026-08-03
184,6.65,81157,3204,7502,271490,7020,2026-08-03
185,7.72,346049,5254,9884,577852,13173,2026-08-03
186,4.87,254700,1866,9239,426558,13104,2026-08-03
187,4.66,429516,4140,10792,692294,10111,2026-08-03
188,4.36,439120,8797,9730,725146,5579,2026-08-03
189,6.27,419529,4240,3638,594381,33477,2026-08-03
190,8.06,310283,5111,5621,529373,29850,2026-08-03
191,6.78,315349,1792,11095,339775,10781,2026-08-03
192,7.26,195940,9703,7038,423502,25492,2026-08-03
193,5.32,107194,7497,1868,389678,17203,2026-08-03
194,5.31,312393,5004,1917,357827,12006,2026-08-03
195,5.44,510810,4733,2299,793551,12271,2026-08-03
196,8.12,589361,7273,8007,855356,10971,2026-08-03
197,8.33,303192,8370,1855,392381,37543,2026-08-03
198,6.08,446307,4306,5712,501002,5710,2026-08-03
200,7.08,449465,973,9341,537487,23001,2026-08-03
201,7.04,432089,2175,4091,464171,9594,2026-08-03
202,6.26,393896,8448,4559,631869,24197,2026-08-03
203,8.34,376123,3471,8106,410326,17608,2026-08-03
204,6.53,51260,2036,2589,76347,28930,2026-08-03
206,7.67,86924,5006,11895,282877,15354,2026-08-03
207,7.38,82224,133,11397,152796,22526,2026-08-03
208,8.49,108714,2182,10512,274000,9372,2026-08-03
209,7.86,159227,1421,1647,376081,9185,2026-08-03
210,6.72,580778,8483,9944,731158,33402,2026-08-03
211,7.25,405130,198,5917,465240,20750,2026-08-03
212,6.64,226722,4694,10299,248602,32846,2026-08-03
213,6.7,88157,8789,5354,251637,25616,2026-08-03
214,7.29,58201,2249,11494,221358,753,2026-08-03
215,6.55,133596,7035,4457,275505,34341,2026-08-03
216,8.85,175487,1890,3743,369261,33356,2026-08-03
217,7.54,382157,6871,3679,583948,21099,2026-08-03
218,6.63,234526,4626,5091,505940,21459,2026-08-03
219,6.48,591694,9695,8084,752030,12817,2026-08-03
220,5.29,10560,5039,1704,187205,13457,2026-08-03
221,6.4,243216,1392,9516,516719,6273,2026-08-03
222,6.5,306344,5346,5212,444178,29681,2026-08-03
223,6.3,114766,5146,6661,197245,7922,2026-08-03
224,7.72,42788,4067,5829,156520,25978,2026-08-03
225,8.2,577343,1990,196,709337,4051,2026-08-03
226,7.23,271893,7266,2111,312207,6037,2026-08-03
227,6.62,454697,6991,2832,662790,23206,2026-08-03
228,5.65,309940,1438,4584,572502,25111,2026-08-03
229,5.8,570565,8922,7941,581804,22556,2026-08-03
230,8.31,61937,1641,4061,310235,15814,2026-08-03
231,5.64,185154,463,11526,310174,23057,2026-08-03
232,8.2,21396,3301,2138,298406,22341,2026-08-03
233,7.32,149033,6121,11544,208187,25935,2026-08-03
234,6.4,589775,5027,11281,777854,19311,2026-08-03
235,6.25,191426,2305,5426,359263,5109,2026-08-03
236,5.94,352558,1111,5743,587720,16830,2026-08-03
237,5.24,174918,6150,1662,392983,31433,2026-08-03
238,6.76,358911,1526,5537,449095,38940,2026-08-03
239,7.32,106676,9079,11830,281264,35407,2026-08-03
240,7.14,378856,9834,7870,381856,13095,2026-08-03
241,6.26,121619,4342,1494,284284,35669,2026-08-03
242,7.94,276695,1585,1405,396311,22540,2026-08-03
243,7.13,562027,1294,6469,811971,2285,2026-08-03
244,8.27,212227,1098,1426,290757,25444,2026-08-03
245,7.59,548445,9284,9633,769433,38196,2026-08-03
246,7.42,509672,2357,10130,758684,39898,2026-08-03
247,6.2,498802,5095,4594,640617,32228,2026-08-03
248,6.6,94124,7938,8463,193656,24514,2026-08-03
249,5.31,596796,4088,542,612973,29923,2026-08-03
250,6.43,32547,7776,9616,160392,36142,2026-08-03
251,6.37,95282,9376,3512,245740,14516,2026-08-03
252,9.22,182114,4512,6944,187551,24682,2026-08-03
253,6.94,8204,1772,7893,277384,4193,2026-08-03
254,5.99,60032,418,10739,272895,32605,2026-08-03
255,6.71,233664,4919,2786,514966,36595,2026-08-03
256,6.69,192461,5032,6890,369429,21723,2026-08-03
257,8.8,75175,6254,8681,323754,19563,2026-08-03
258,9.33,150681,5450,10339,317557,11598,2026-08-03
259,4.78,166631,7036,6610,424310,28126,2026-08-03
260,6.67,338364,4077,3708,617778,22577,2026-08-03
261,6.93,48439,2193,5616,205782,32134,2026-08-03
262,7.31,221949,6007,11651,234437,2458,2026-08-03
263,9.5,113865,7280,6231,125215,8109,2026-08-03
264,6.35,546083,1719,8382,688628,7725,2026-08-03
265,7.04,209952,6714,4840,348836,10520,2026-08-03
266,8.44,116295,1660,4193,376347,15159,2026-08-03
267,6.83,305181,752,159,495037,9079,2026-08-03
268,6.1,119861,7836,6910,330983,10940,2026-08-03
269,7.52,436736,6222,5876,690796,1898,2026-08-03
270,6.73,550811,8571,11277,848040,6251,2026-08-03
271,7.75,57716,2710,1227,64821,32230,2026-08-03
272,6.11,246915,8167,7325,289244,20723,2026-08-03
273,5.92,584694,4991,8329,873579,36863,2026-08-03
274,5.87,496616,3634,36,688086,22381,2026-08-03
275,8.43,147771,1979,6438,363315,14138,2026-08-03
276,7.57,472888,72,8690,713690,3193,2026-08-03
277,5.55,135118,6303,6860,190410,39921,2026-08-03
278,5.34,537679,9070,10365,695395,14253,2026-08-03
279,7.69,186950,1891,5772,452135,36859,2026-08-03
280,7.64,56142,4106,2400,86819,4075,2026-08-03
281,7.47,589679,4713,11354,708280,3088,2026-08-03
282,6.77,465086,3171,4820,584338,29423,2026-08-03
283,6.06,43108,2637,9569,268769,16722,2026-08-03
284,5.24,316283,5208,8609,574472,14425,2026-08-03
285,5.72,232442,3580,10130,345300,34776,2026-08-03
286,8.05,256171,4204,8852,278078,18545,2026-08-03
287,5.94,539357,1073,3454,583529,13980,2026-08-03
288,6.79,482032,2917,4128,656946,36584,2026-08-03
289,6.16,18211,1037,9595,223422,2992,2026-08-03
290,6.31,400441,3603,2235,608594,25634,2026-08-03
291,9.27,582532,9776,6457,657652,35212,2026-08-03
292,8.58,149875,1878,2972,235261,37188,2026-08-03
293,5.6,103472,2101,10999,207975,15380,2026-08-03
294,5.82,321023,7018,2763,401921,326,2026-08-03
295,6.89,141329,5005,7979,316163,36164,2026-08-03
296,7.39,80676,9485,6638,121207,38678,2026-08-03
297,8.49,412064,7614,8211,530140,33460,2026-08-03
298,6.06,147689,7922,5879,382637,2658,2026-08-03
299,5.11,217318,761,654,489839,21248,2026-08-03
300,5.74,82118,6650,5782,353998,22622,2026-08-03
301,8.0,174150,2462,3063,295731,10322,2026-08-03
302,5.55,221439,2096,9397,306978,38830,2026-08-03
303,6.95,174921,9235,10447,311323,1230,2026-08-03
304,7.02,150144,5615,7430,246503,39104,2026-08-03
305,7.91,529359,7797,10073,750452,39319,2026-08-03
306,6.75,452957,8681,7029,727658,15049,2026-08-03
307,6.79,140886,4642,9803,275326,35643,2026-08-03
308,5.48,393747,2536,6981,502445,38372,2026-08-03
309,6.61,579423,9092,7926,872746,16641,2026-08-03
310,7.04,170154,9021,10061,223728,3421,2026-08-03
311,8.71,495080,6076,1312,724343,39923,2026-08-03
312,6.05,212005,8365,8452,484666,15192,2026-08-03
313,5.89,289840,9603,3282,500258,33940,2026-08-03
314,7.68,290439,9420,77,410083,17121,2026-08-03
315,6.28,309045,9420,4099,488285,29027,2026-08-03
316,8.54,505882,3611,11091,567840,15078,2026-08-03
317,5.47,98027,5143,5793,308181,14333,2026-08-03
318,6.6,217323,5834,2556,338493,7001,2026-08-03
319,4.58,389727,2997,8375,556096,18377,2026-08-03
320,7.79,183791,138,194,424493,13821,2026-08-03
321,7.01,276117,3014,8172,401446,27793,2026-08-03
322,4.04,240169,7082,6241,293529,12859,2026-08-03
323,5.47,542621,4112,9211,823581,37223,2026-08-03
324,6.98,101479,9181,9134,338332,16899,2026-08-03
325,7.62,565093,8364,7988,657601,29300,2026-08-03
326,7.15,599905,3740,5137,813122,20776,2026-08-03
327,5.87,546740,2049,11924,783820,15386,2026-08-03
328,8.88,575574,1364,1703,604794,17210,2026-08-03
329,7.68,552829,7802,7655,643276,35437,2026-08-03
330,5.53,591880,7892,8842,820933,14895,2026-08-03
331,5.91,11568,4699,7688,12616,35078,2026-08-03
332,7.2,198231,2676,11714,415099,25550,2026-08-03
333,5.47,285571,3081,1122,435823,11964,2026-08-03
334,6.59,197411,363,3047,366520,6712,2026-08-03
335,8.32,95078,6886,5105,175079,32672,2026-08-03
336,8.59,75352,6252,207,361141,8002,2026-08-03
337,7.46,546953,2599,10309,657239,2774,2026-08-03
338,6.91,455751,1961,6485,626889,15941,2026-08-03
339,7.33,165858,984,980,428959,23309,2026-08-03
340,6.88,460530,2208,4108,562699,2597,2026-08-03
341,4.81,196192,9809,9086,482205,10518,2026-08-03
342,7.01,195046,3913,5255,205860,4161,2026-08-03
343,5.51,338166,2127,2927,397081,2059,2026-08-03
344,5.11,268871,3420,10744,295606,32214,2026-08-03
345,6.52,61632,1277,3538,201995,34054,2026-08-03
346,5.98,188088,9447,5865,481862,30072,2026-08-03
347,6.66,166360,9013,5320,447277,24371,2026-08-03
348,7.05,266931,568,4661,456679,39053,2026-08-03
349,4.3,23255,619,7543,168936,23318,2026-08-03
350,6.76,598699,5320,7906,809308,11341,2026-08-03
351,7.73,351132,9869,188,534547,25076,2026-08-03
352,6.02,53473,7077,4748,260456,25852,2026-08-03
353,6.79,419082,2137,2210,557737,31527,2026-08-03
354,8.52,339621,5985,5707,387594,12493,2026-08-03
355,7.63,464190,6125,2556,541640,5633,2026-08-03
356,8.49,117183,3425,8815,278152,13895,2026-08-03
357,6.95,552888,3289,11412,576685,17788,2026-08-03
358,5.54,378217,6238,8332,435783,6537,2026-08-03
359,4.72,480733,4996,5466,775694,32118,2026-08-03
360,5.62,526100,483,9093,671739,18372,2026-08-03
361,9.5,401273,3939,9387,675279,10020,2026-08-03
362,7.68,212637,2379,10752,286046,37027,2026-08-03
363,7.85,333525,6738,4971,410820,29042,2026-08-03
364,6.92,280325,428,5887,578618,5218,2026-08-03
365,5.29,172242,4422,6768,274565,14595,2026-08-03
366,5.96,259271,6233,11800,484433,20516,2026-08-03
367,4.76,544399,6348,8457,827397,3240,2026-08-03
368,5.46,57696,8203,1855,329736,11791,2026-08-03
369,7.51,212241,2687,11770,451625,8106,2026-08-03
370,6.31,577579,9266,10806,778126,9846,2026-08-03
371,6.38,323526,2156,3324,486802,241,2026-08-03
372,7.4,499320,9833,108,738209,16047,2026-08-03
373,6.26,366473,9472,9885,386725,19568,2026-08-03
374,6.45,589985,1526,4904,684003,21166,2026-08-03
375,8.38,307557,8636,6780,555400,34393,2026-08-03
376,6.56,301637,8609,9424,526536,23200,2026-08-03
377,5.32,305098,1933,3397,407576,27183,2026-08-03
378,5.73,267276,1866,11237,303841,21852,2026-08-03
379,5.5,347069,2225,7889,525245,10193,2026-08-03
380,6.26,331328,5435,5794,623400,4349,2026-08-03
381,8.48,174531,5153,11631,379775,2082,2026-08-03
382,4.22,227139,613,3312,503442,6078,2026-08-03
383,7.6,549563,2175,3362,713280,2405,2026-08-03
384,8.09,349979,9463,5115,595756,13762,2026-08-03
385,4.98,123865,250,10207,267814,36685,2026-08-03
386,7.28,180094,7269,832,218445,8534,2026-08-03
387,5.44,447681,5827,5120,654158,21789,2026-08-03
388,6.21,488503,4228,5955,736204,25705,2026-08-03
389,8.27,118870,5712,9904,304126,37672,2026-08-03
390,7.64,483867,3993,8978,695010,10431,2026-08-03
391,7.2,452591,3870,2836,681841,5114,2026-08-03
392,7.2,114527,3566,2277,314185,38071,2026-08-03
393,6.69,469381,9344,11134,572966,19968,2026-08-03
394,7.92,134251,9176,5886,289488,7199,2026-08-03
395,6.7,401884,2842,7781,615762,9124,2026-08-03
396,7.08,16970,1388,2249,93465,27263,2026-08-03
397,7.12,403902,122,9469,591185,32657,2026-08-03
398,5.24,119161,8470,1282,372622,34308,2026-08-03
399,6.09,360734,7688,9404,642245,21736,2026-08-03
400,6.7,177792,7943,1352,205855,8321,2026-08-03
401,8.35,117468,7318,6059,210015,11504,2026-08-03
402,9.5,162138,7212,11895,423157,10973,2026-08-03
403,6.51,176241,8725,3829,420518,24900,2026-08-03
404,7.88,331523,4467,5489,610528,17726,2026-08-03
405,6.27,254042,8973,174,357239,565,2026-08-03
406,6.65,25351,1996,11602,74554,7872,2026-08-03
407,7.5,193713,7430,4529,327533,27992,2026-08-03
408,4.01,271282,3288,10000,411042,25741,2026-08-03
409,9.15,111910,1154,9361,344425,16433,2026-08-03
410,6.31,346352,7145,6618,552521,4604,2026-08-03
411,7.2,561807,905,10360,750983,5951,2026-08-03
412,7.21,403324,5887,7971,504464,5571,2026-08-03
413,8.14,250569,8749,7362,508067,1085,2026-08-03
414,8.27,549030,605,2320,790348,32050,2026-08-03
415,8.15,181116,2797,9684,208308,4201,2026-08-03
416,5.71,422036,3494,747,593028,38878,2026-08-03
417,8.58,176714,9536,667,371662,8750,2026-08-03
418,9.31,298014,2345,10483,517234,17766,2026-08-03
419,6.91,189244,6862,75,452329,36560,2026-08-03
420,5.6,566440,870,3174,833537,7394,2026-08-03
421,8.22,382384,7425,710,532839,6853,2026-08-03
422,7.53,466928,1805,5344,638831,14937,2026-08-03
423,7.15,494369,9985,7455,749338,11679,2026-08-03
424,6.25,352707,2237,1821,420402,30519,2026-08-03
425,7.48,164904,6746,8549,254999,32071,2026-08-03
426,6.12,156706,8262,551,160368,27908,2026-08-03
427,8.08,586116,4847,3917,593629,5956,2026-08-03
428,6.21,425551,23,10278,523515,4643,2026-08-03
429,6.94,569284,899,8434,678888,23864,2026-08-03
430,5.77,588497,1861,10634,696825,31368,2026-08-03
431,5.42,66947,8630,2011,263408,30822,2026-08-03
432,7.75,84564,2700,4522,290394,7351,2026-08-03
433,6.04,437270,7273,10563,722137,1417,2026-08-03
434,6.1,359943,4983,9294,532021,8657,2026-08-03
435,5.91,370774,8771,4674,520872,11955,2026-08-03
436,5.74,388129,5193,5634,485858,9705,2026-08-03
437,6.26,424714,71,8949,687552,33263,2026-08-03
438,6.47,355636,9027,1915,415521,20200,2026-08-03
439,4.34,58206,3207,370,161520,5488,2026-08-03
440,6.4,448913,5652,5757,643705,20200,2026-08-03
441,7.28,464499,6787,2287,616826,38491,2026-08-03
442,6.82,429850,9305,2244,574153,13068,2026-08-03
443,6.33,518601,2524,4304,812825,19681,2026-08-03
444,7.45,70466,7800,11375,261132,7847,2026-08-03
445,7.4,483939,5918,6874,555978,23339,2026-08-03
446,7.33,99599,4933,4448,188226,23768,2026-08-03
447,8.25,432507,8248,3623,611929,12358,2026-08-03
448,5.86,380680,4992,472,454563,7782,2026-08-03
449,6.92,137043,309,7935,179254,28272,2026-08-03
450,7.42,69965,9860,3366,229114,38519,2026-08-03
451,7.37,369811,9343,1120,454989,6504,2026-08-03
452,7.42,529187,1759,2964,779074,23263,2026-08-03
453,7.24,130120,5919,11547,375386,18902,2026-08-03
454,6.65,466021,3094,1141,585443,31183,2026-08-03
455,5.13,416123,2349,6469,646791,26265,2026-08-03
456,7.45,424427,8178,4564,489789,38146,2026-08-03
457,8.82,292938,8018,8148,371204,15137,2026-08-03
458,6.54,188295,4961,10191,389904,6323,2026-08-03
459,6.8,569287,7052,1952,750440,25151,2026-08-03
460,6.21,408480,9074,11230,665046,35359,2026-08-03
461,6.83,396649,9675,740,582598,8411,2026-08-03
462,4.0,432439,3845,10619,617605,20463,2026-08-03
463,8.29,342458,8434,6901,363054,17483,2026-08-03
464,6.58,512581,5564,2731,566039,19639,2026-08-03
465,7.25,224979,6587,3701,376636,6036,2026-08-03
466,6.55,317009,6789,6592,582585,16476,2026-08-03
467,7.16,523952,982,8557,636600,13159,2026-08-03
468,8.34,213946,2632,4202,431182,39412,2026-08-03
469,4.94,258016,607,3310,421828,10453,2026-08-03
470,7.77,509942,9857,4883,521379,4176,2026-08-03
471,8.72,117869,1479,3901,381143,39319,2026-08-03
472,7.51,112502,4167,9659,205333,3675,2026-08-03
473,6.5,258813,6026,5050,405425,1391,2026-08-03
474,7.81,128482,129,6439,409929,16756,2026-08-03
475,6.53,333091,7719,6766,547103,21815,2026-08-03
476,5.24,574834,3011,10325,747154,29068,2026-08-03
477,7.65,165988,6723,5234,297852,29598,2026-08-03
478,7.71,413108,9151,10603,611932,14998,2026-08-03
479,7.33,421015,6029,2788,646883,37184,2026-08-03
480,6.64,279633,3386,9832,431608,14137,2026-08-03
481,6.1,275016,9551,11212,399478,30036,2026-08-03
482,6.41,269172,5454,3848,308474,30873,2026-08-03
483,5.12,389418,2784,8254,459748,32308,2026-08-03
484,7.05,134582,4636,4313,397312,17295,2026-08-03
485,7.02,461862,3001,588,490765,30828,2026-08-03
486,5.73,509268,5728,1534,750265,13361,2026-08-03
487,8.16,223213,1259,4034,226376,32654,2026-08-03
488,5.03,111722,7862,7440,282349,17660,2026-08-03
489,8.61,597305,4636,5295,666106,3649,2026-08-03
490,8.95,94020,4669,10604,105774,10111,2026-08-03
491,6.32,138164,3275,8022,327406,29202,2026-08-03
492,7.37,455693,3674,10611,680048,10172,2026-08-03
493,5.39,134497,9315,782,292997,36119,2026-08-03
494,5.09,266188,267,1867,453550,30345,2026-08-03
495,7.19,477600,3067,3459,714502,12139,2026-08-03
496,6.66,500796,5911,11316,743053,25896,2026-08-03
497,6.91,17156,2379,10646,116838,15855,2026-08-03
498,6.32,160326,9589,3976,394773,13204,2026-08-03
499,7.06,453262,7988,6549,672201,31867,2026-08-03
500,5.56,281359,5682,7346,501059,28598,2026-08-03
501,6.16,532794,7676,2149,648981,19237,2026-08-03
502,7.25,90878,9925,8064,345051,6622,2026-08-03
503,8.42,376715,8249,524,514453,4182,2026-08-03
504,5.63,357355,8445,9901,544603,6835,2026-08-03
505,6.32,44508,5926,2573,311482,19154,2026-08-03
506,7.33,436445,4699,8275,440898,11233,2026-08-03
507,7.32,257874,7026,6774,338361,26834,2026-08-03
508,6.53,73461,7112,1008,118909,25783,2026-08-03
