mal_id,title,title_english,type,source,episodes,status,score,scored_by,rank,popularity,members,favorites,synopsis,genres,studios,anime_key,valid_from,valid_to,is_current
38000,Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,TV,Manga,26,Finished Airing,8.49,1900000,135,7,2800000,88000,Demon Slayer: Kimetsu no Yaiba is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Fantasy""}, {""mal_id"": 3, ""name"": ""Supernatural""}]","[{""mal_id"": 1, ""name"": ""Ufotable""}]",11,2026-01-01,,1
40748,Jujutsu Kaisen,Jujutsu Kaisen,TV,Manga,24,Finished Airing,8.62,1600000,70,11,2400000,92000,Jujutsu Kaisen is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Fantasy""}, {""mal_id"": 3, ""name"": ""Supernatural""}]","[{""mal_id"": 1, ""name"": ""MAPPA""}]",12,2026-01-01,,1
31964,My Hero Academia,My Hero Academia,TV,Manga,13,Finished Airing,7.88,1800000,800,6,2900000,54000,My Hero Academia is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Supernatural""}]","[{""mal_id"": 1, ""name"": ""Bones""}]",13,2026-01-01,,1
44511,Chainsaw Man,Chainsaw Man,TV,Manga,12,Finished Airing,8.52,1200000,105,22,1950000,78000,Chainsaw Man is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Fantasy""}, {""mal_id"": 3, ""name"": ""Supernatural""}]","[{""mal_id"": 1, ""name"": ""MAPPA""}]",14,2026-01-01,,1
52299,Solo Leveling,Solo Leveling,TV,Web webtoon,12,Finished Airing,8.35,750000,190,35,1250000,48000,Solo Leveling is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Fantasy""}]","[{""mal_id"": 1, ""name"": ""A-1 Pictures""}]",15,2026-01-01,,1
11757,Sword Art Online,Sword Art Online,TV,Light novel,25,Finished Airing,7.2,2100000,2900,5,3050000,71000,Sword Art Online is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Adventure""}, {""mal_id"": 3, ""name"": ""Fantasy""}]","[{""mal_id"": 1, ""name"": ""A-1 Pictures""}]",16,2026-01-01,,1
22319,Tokyo Ghoul,Tokyo Ghoul,TV,Manga,12,Finished Airing,7.79,2300000,1100,9,2980000,93000,Tokyo Ghoul is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Horror""}, {""mal_id"": 3, ""name"": ""Psychological""}]","[{""mal_id"": 1, ""name"": ""Studio Pierrot""}]",17,2026-01-01,,1
6702,Fairy Tail,Fairy Tail,TV,Manga,175,Finished Airing,7.58,1350000,1600,25,2100000,58000,Fairy Tail is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Adventure""}, {""mal_id"": 3, ""name"": ""Fantasy""}]","[{""mal_id"": 1, ""name"": ""A-1 Pictures""}]",18,2026-01-01,,1
30694,Dragon Ball Super,Dragon Ball Super,TV,Manga,131,Finished Airing,7.42,950000,2100,78,1450000,42000,Dragon Ball Super is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Adventure""}, {""mal_id"": 3, ""name"": ""Fantasy""}]","[{""mal_id"": 1, ""name"": ""Toei Animation""}]",19,2026-01-01,,1
19,Monster,Monster,TV,Manga,74,Finished Airing,8.89,450000,24,140,1050000,52000,Monster is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Drama""}, {""mal_id"": 2, ""name"": ""Mystery""}, {""mal_id"": 3, ""name"": ""Psychological""}, {""mal_id"": 4, ""name"": ""Thriller""}]","[{""mal_id"": 1, ""name"": ""Madhouse""}]",20,2026-01-01,,1
205,Samurai Champloo,Samurai Champloo,TV,Original,26,Finished Airing,8.4,620000,180,110,1150000,48000,Samurai Champloo is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Adventure""}, {""mal_id"": 3, ""name"": ""Comedy""}]","[{""mal_id"": 1, ""name"": ""Manglobe""}]",21,2026-01-01,,1
199,Sen to Chihiro no Kamikakushi (Spirited Away),Sen to Chihiro no Kamikakushi (Spirited Away),Movie,Original,1,Finished Airing,8.78,1200000,32,42,1750000,31000,Sen to Chihiro no Kamikakushi (Spirited Away) is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Adventure""}, {""mal_id"": 2, ""name"": ""Award Winning""}, {""mal_id"": 3, ""name"": ""Supernatural""}]","[{""mal_id"": 1, ""name"": ""Studio Ghibli""}]",22,2026-01-01,,1
37521,Vinland Saga,Vinland Saga,TV,Manga,24,Finished Airing,8.73,850000,42,85,1400000,61000,Vinland Saga is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Adventure""}, {""mal_id"": 3, ""name"": ""Drama""}, {""mal_id"": 4, ""name"": ""Historical""}]","[{""mal_id"": 1, ""name"": ""Wit Studio""}]",23,2026-01-01,,1
30,Tales of Valhalla,Tales of Valhalla,TV,Manga,24,Finished Airing,6.72,442917,8280,9864,460580,1749,An epic romance adventure featuring Tales of Valhalla.,"[{""mal_id"": 1, ""name"": ""Romance""}, {""mal_id"": 2, ""name"": ""Fantasy""}, {""mal_id"": 3, ""name"": ""Ecchi""}]","[{""mal_id"": 1, ""name"": ""Lerche""}]",24,2026-01-01,,1
31,Fate of Chronos,Fate of Chronos,OVA,Light novel,24,Currently Airing,5.42,443643,1675,1520,623032,24908,An epic music adventure featuring Fate of Chronos.,"[{""mal_id"": 1, ""name"": ""Music""}, {""mal_id"": 2, ""name"": ""Shounen""}]","[{""mal_id"": 1, ""name"": ""Sunrise""}, {""mal_id"": 2, ""name"": ""J.C.Staff""}]",25,2026-01-01,,1
32,Tales of Specter,Tales of Specter,Special,Original,26,Not yet aired,6.25,397422,3151,11544,439735,4568,An epic shojo adventure featuring Tales of Specter.,"[{""mal_id"": 1, ""name"": ""Shojo""}, {""mal_id"": 2, ""name"": ""Sci-Fi""}, {""mal_id"": 3, ""name"": ""Martial Arts""}]","[{""mal_id"": 1, ""name"": ""David Production""}]",26,2026-01-01,,1
33,Legend of Phantom,Legend of Phantom,OVA,Light novel,26,Currently Airing,6.94,291976,3433,10981,530693,17506,An epic comedy adventure featuring Legend of Phantom.,"[{""mal_id"": 1, ""name"": ""Comedy""}, {""mal_id"": 2, ""name"": ""Military""}, {""mal_id"": 3, ""name"": ""Romance""}]","[{""mal_id"": 1, ""name"": ""CloverWorks""}]",27,2026-01-01,,1
34,Reborn in Genesis,Reborn in Genesis,Movie,Novel,1,Currently Airing,6.51,340535,6573,4387,370862,4347,An epic horror adventure featuring Reborn in Genesis.,"[{""mal_id"": 1, ""name"": ""Horror""}, {""mal_id"": 2, ""name"": ""Music""}]","[{""mal_id"": 1, ""name"": ""A-1 Pictures""}, {""mal_id"": 2, ""name"": ""White Fox""}]",28,2026-01-01,,1
35,Fate of Titan,Fate of Titan,Movie,Light novel,25,Not yet aired,6.08,150311,9578,7020,290184,38252,An epic josei adventure featuring Fate of Titan.,"[{""mal_id"": 1, ""name"": ""Josei""}, {""mal_id"": 2, ""name"": ""Psychological""}]","[{""mal_id"": 1, ""name"": ""White Fox""}, {""mal_id"": 2, ""name"": ""Studio Ghibli""}]",29,2026-01-01,,1
36,Zero Specter,Zero Specter,Special,Manga,50,Currently Airing,7.21,168253,9764,7669,390586,34686,An epic fantasy adventure featuring Zero Specter.,"[{""mal_id"": 1, ""name"": ""Fantasy""}, {""mal_id"": 2, ""name"": ""Isekai""}]","[{""mal_id"": 1, ""name"": ""Toei Animation""}, {""mal_id"": 2, ""name"": ""Madhouse""}]",30,2026-01-01,,1
37,Kingdom of Valhalla,Kingdom of Valhalla,ONA,Light novel,100,Finished Airing,6.31,117470,4316,8202,272348,11718,An epic cyberpunk adventure featuring Kingdom of Valhalla.,"[{""mal_id"": 1, ""name"": ""Cyberpunk""}]","[{""mal_id"": 1, ""name"": ""White Fox""}, {""mal_id"": 2, ""name"": ""wit Studio""}]",31,2026-01-01,,1
38,Tales of Vanguard,Tales of Vanguard,ONA,Manga,12,Currently Airing,9.18,1099,5039,3924,172050,3806,An epic fantasy adventure featuring Tales of Vanguard.,"[{""mal_id"": 1, ""name"": ""Fantasy""}, {""mal_id"": 2, ""name"": ""Supernatural""}]","[{""mal_id"": 1, ""name"": ""Trigger""}]",32,2026-01-01,,1
39,Echoes of Eclipse,Echoes of Eclipse,ONA,Web manga,13,Currently Airing,6.08,132369,8646,9939,200683,27740,An epic ecchi adventure featuring Echoes of Eclipse.,"[{""mal_id"": 1, ""name"": ""Ecchi""}]","[{""mal_id"": 1, ""name"": ""Toei Animation""}, {""mal_id"": 2, ""name"": ""Trigger""}]",33,2026-01-01,,1
40,Fate of Destiny,Fate of Destiny,TV,Web manga,24,Not yet aired,6.01,67636,3609,118,245890,4662,An epic thriller adventure featuring Fate of Destiny.,"[{""mal_id"": 1, ""name"": ""Thriller""}, {""mal_id"": 2, ""name"": ""Cyberpunk""}, {""mal_id"": 3, ""name"": ""Josei""}]","[{""mal_id"": 1, ""name"": ""Studio Ghibli""}, {""mal_id"": 2, ""name"": ""Kinema Citrus""}]",34,2026-01-01,,1
41,Legend of Phantom,Legend of Phantom,Movie,Original,100,Finished Airing,7.05,74799,8835,2168,345364,37433,An epic parody adventure featuring Legend of Phantom.,"[{""mal_id"": 1, ""name"": ""Parody""}]","[{""mal_id"": 1, ""name"": ""wit Studio""}]",35,2026-01-01,,1
42,Beyond Phantom,Beyond Phantom,TV,Manga,50,Not yet aired,5.75,490210,5560,1791,519611,16305,An epic martial arts adventure featuring Beyond Phantom.,"[{""mal_id"": 1, ""name"": ""Martial Arts""}, {""mal_id"": 2, ""name"": ""Mecha""}, {""mal_id"": 3, ""name"": ""Mystery""}, {""mal_id"": 4, ""name"": ""Drama""}]","[{""mal_id"": 1, ""name"": ""Lerche""}]",36,2026-01-01,,1
43,Fate of Destiny,Fate of Destiny,TV,Manga,1,Finished Airing,7.28,465156,3873,2725,754684,26644,An epic fantasy adventure featuring Fate of Destiny.,"[{""mal_id"": 1, ""name"": ""Fantasy""}, {""mal_id"": 2, ""name"": ""Mecha""}, {""mal_id"": 3, ""name"": ""Horror""}, {""mal_id"": 4, ""name"": ""Sci-Fi""}]","[{""mal_id"": 1, ""name"": ""Bones""}, {""mal_id"": 2, ""name"": ""Toei Animation""}]",37,2026-01-01,,1
44,Beyond Paradox,Beyond Paradox,OVA,Visual novel,100,Finished Airing,4.48,278585,3112,4862,518140,14277,An epic military adventure featuring Beyond Paradox.,"[{""mal_id"": 1, ""name"": ""Military""}, {""mal_id"": 2, ""name"": ""Thriller""}]","[{""mal_id"": 1, ""name"": ""J.C.Staff""}]",38,2026-01-01,,1
45,Legend of Aether,Legend of Aether,Movie,Manga,12,Not yet aired,9.0,532996,3854,6616,575997,7866,An epic adventure adventure featuring Legend of Aether.,"[{""mal_id"": 1, ""name"": ""Adventure""}, {""mal_id"": 2, ""name"": ""Shounen""}, {""mal_id"": 3, ""name"": ""Psychological""}]","[{""mal_id"": 1, ""name"": ""Madhouse""}]",39,2026-01-01,,1
46,Echoes of Aether,Echoes of Aether,Movie,Game,25,Currently Airing,6.34,279017,5181,1189,487522,620,An epic mecha adventure featuring Echoes of Aether.,"[{""mal_id"": 1, ""name"": ""Mecha""}]","[{""mal_id"": 1, ""name"": ""A-1 Pictures""}, {""mal_id"": 2, ""name"": ""Kyoto Animation""}]",40,2026-01-01,,1
47,Overlord Horizon,Overlord Horizon,OVA,Manga,24,Currently Airing,5.96,278582,4670,2585,349027,28726,An epic seinen adventure featuring Overlord Horizon.,"[{""mal_id"": 1, ""name"": ""Seinen""}]","[{""mal_id"": 1, ""name"": ""Kinema Citrus""}]",41,2026-01-01,,1
48,Infinite Valhalla,Infinite Valhalla,OVA,Original,24,Not yet aired,7.19,580597,5618,3336,663096,17310,An epic vampire adventure featuring Infinite Valhalla.,"[{""mal_id"": 1, ""name"": ""Vampire""}, {""mal_id"": 2, ""name"": ""Cyberpunk""}, {""mal_id"": 3, ""name"": ""Drama""}]","[{""mal_id"": 1, ""name"": ""A-1 Pictures""}]",42,2026-01-01,,1
49,Beyond Abyss,Beyond Abyss,Movie,Game,25,Finished Airing,7.15,4217,7240,9039,180096,28038,An epic comedy adventure featuring Beyond Abyss.,"[{""mal_id"": 1, ""name"": ""Comedy""}]","[{""mal_id"": 1, ""name"": ""A-1 Pictures""}, {""mal_id"": 2, ""name"": ""Madhouse""}]",43,2026-01-01,,1
50,Chronicles of Horizon,Chronicles of Horizon,ONA,Light novel,1,Currently Airing,7.83,579864,5975,654,658507,23459,An epic parody adventure featuring Chronicles of Horizon.,"[{""mal_id"": 1, ""name"": ""Parody""}]","[{""mal_id"": 1, ""name"": ""Trigger""}]",44,2026-01-01,,1
51,Fate of Phantom,Fate of Phantom,Movie,Novel,13,Currently Airing,7.04,162560,407,2939,287678,21780,An epic supernatural adventure featuring Fate of Phantom.,"[{""mal_id"": 1, ""name"": ""Supernatural""}]","[{""mal_id"": 1, ""name"": ""Doga Kobo""}, {""mal_id"": 2, ""name"": ""David Production""}]",45,2026-01-01,,1
52,Saga of Phantom,Saga of Phantom,ONA,Original,25,Finished Airing,8.31,233738,3653,388,339371,12666,An epic horror adventure featuring Saga of Phantom.,"[{""mal_id"": 1, ""name"": ""Horror""}, {""mal_id"": 2, ""name"": ""Martial Arts""}, {""mal_id"": 3, ""name"": ""Space""}]","[{""mal_id"": 1, ""name"": ""CloverWorks""}]",46,2026-01-01,,1
53,Zero Titan,Zero Titan,Special,Original,1,Finished Airing,5.23,534650,4280,2926,745196,38059,An epic military adventure featuring Zero Titan.,"[{""mal_id"": 1, ""name"": ""Military""}, {""mal_id"": 2, ""name"": ""Comedy""}, {""mal_id"": 3, ""name"": ""Harem""}]","[{""mal_id"": 1, ""name"": ""Ufotable""}, {""mal_id"": 2, ""name"": ""White Fox""}]",47,2026-01-01,,1
54,Kingdom of Aether,Kingdom of Aether,ONA,Web manga,24,Currently Airing,7.07,536765,728,11613,598396,28587,An epic shojo adventure featuring Kingdom of Aether.,"[{""mal_id"": 1, ""name"": ""Shojo""}]","[{""mal_id"": 1, ""name"": ""Ufotable""}, {""mal_id"": 2, ""name"": ""David Production""}]",48,2026-01-01,,1
55,Chronicles of Destiny,Chronicles of Destiny,Special,Original,50,Currently Airing,5.65,131179,6593,11424,289634,19386,An epic mecha adventure featuring Chronicles of Destiny.,"[{""mal_id"": 1, ""name"": ""Mecha""}, {""mal_id"": 2, ""name"": ""Comedy""}, {""mal_id"": 3, ""name"": ""Cyberpunk""}]","[{""mal_id"": 1, ""name"": ""Doga Kobo""}, {""mal_id"": 2, ""name"": ""wit Studio""}]",49,2026-01-01,,1
56,Rise of Destiny,Rise of Destiny,OVA,Light novel,50,Not yet aired,5.78,925,9940,10727,161242,21128,An epic cyberpunk adventure featuring Rise of Destiny.,"[{""mal_id"": 1, ""name"": ""Cyberpunk""}, {""mal_id"": 2, ""name"": ""Thriller""}, {""mal_id"": 3, ""name"": ""Ecchi""}, {""mal_id"": 4, ""name"": ""Parody""}]","[{""mal_id"": 1, ""name"": ""Doga Kobo""}]",50,2026-01-01,,1
57,Overlord Apex,Overlord Apex,Special,Game,26,Finished Airing,6.33,89414,3849,11024,239199,20353,An epic cyberpunk adventure featuring Overlord Apex.,"[{""mal_id"": 1, ""name"": ""Cyberpunk""}, {""mal_id"": 2, ""name"": ""Mystery""}, {""mal_id"": 3, ""name"": ""Isekai""}, {""mal_id"": 4, ""name"": ""Psychological""}]","[{""mal_id"": 1, ""name"": ""Lerche""}]",51,2026-01-01,,1
58,Echoes of Destiny,Echoes of Destiny,Special,Light novel,50,Currently Airing,5.36,478038,6548,3998,696324,9681,An epic action adventure featuring Echoes of Destiny.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Adventure""}]","[{""mal_id"": 1, ""name"": ""Shaft""}]",52,2026-01-01,,1
59,Chronicles of Horizon,Chronicles of Horizon,ONA,Light novel,100,Not yet aired,5.59,261803,8703,9158,326429,39033,An epic romance adventure featuring Chronicles of Horizon.,"[{""mal_id"": 1, ""name"": ""Romance""}, {""mal_id"": 2, ""name"": ""Horror""}, {""mal_id"": 3, ""name"": ""Martial Arts""}, {""mal_id"": 4, ""name"": ""Space""}]","[{""mal_id"": 1, ""name"": ""Madhouse""}, {""mal_id"": 2, ""name"": ""Trigger""}]",53,2026-01-01,,1
60,Cyber Apex,Cyber Apex,Special,Visual novel,24,Currently Airing,7.58,259749,7207,1270,406140,18735,An epic historical adventure featuring Cyber Apex.,"[{""mal_id"": 1, ""name"": ""Historical""}, {""mal_id"": 2, ""name"": ""Vampire""}, {""mal_id"": 3, ""name"": ""Seinen""}, {""mal_id"": 4, ""name"": ""Music""}]","[{""mal_id"": 1, ""name"": ""David Production""}]",54,2026-01-01,,1
61,Echoes of Abyss,Echoes of Abyss,ONA,Game,13,Not yet aired,5.88,158657,3506,1053,280904,27198,An epic sports adventure featuring Echoes of Abyss.,"[{""mal_id"": 1, ""name"": ""Sports""}, {""mal_id"": 2, ""name"": ""Parody""}, {""mal_id"": 3, ""name"": ""Seinen""}]","[{""mal_id"": 1, ""name"": ""Production I.G""}]",55,2026-01-01,,1
62,Saga of Titan,Saga of Titan,TV,Original,25,Currently Airing,7.01,399358,6866,8819,650432,35801,An epic mecha adventure featuring Saga of Titan.,"[{""mal_id"": 1, ""name"": ""Mecha""}, {""mal_id"": 2, ""name"": ""Adventure""}, {""mal_id"": 3, ""name"": ""Mystery""}, {""mal_id"": 4, ""name"": ""Historical""}]","[{""mal_id"": 1, ""name"": ""CloverWorks""}, {""mal_id"": 2, ""name"": ""Silver Link.""}]",56,2026-01-01,,1
63,Echoes of Paradox,Echoes of Paradox,Movie,Novel,100,Finished Airing,6.73,352957,8752,442,565935,25832,An epic sci-fi adventure featuring Echoes of Paradox.,"[{""mal_id"": 1, ""name"": ""Sci-Fi""}, {""mal_id"": 2, ""name"": ""Mecha""}]","[{""mal_id"": 1, ""name"": ""Sunrise""}, {""mal_id"": 2, ""name"": ""CloverWorks""}]",57,2026-01-01,,1
64,Chronicles of Eclipse,Chronicles of Eclipse,ONA,Original,50,Currently Airing,6.25,343222,1342,7706,521169,1280,An epic fantasy adventure featuring Chronicles of Eclipse.,"[{""mal_id"": 1, ""name"": ""Fantasy""}, {""mal_id"": 2, ""name"": ""Military""}, {""mal_id"": 3, ""name"": ""Music""}, {""mal_id"": 4, ""name"": ""Horror""}]","[{""mal_id"": 1, ""name"": ""A-1 Pictures""}]",58,2026-01-01,,1
65,Legend of Specter,Legend of Specter,TV,Web manga,13,Finished Airing,7.32,259795,2069,7759,365317,7506,An epic josei adventure featuring Legend of Specter.,"[{""mal_id"": 1, ""name"": ""Josei""}, {""mal_id"": 2, ""name"": ""Comedy""}]","[{""mal_id"": 1, ""name"": ""Sunrise""}]",59,2026-01-01,,1
66,Fate of Apex,Fate of Apex,Special,Game,50,Currently Airing,7.31,27425,3250,1246,191980,38813,An epic harem adventure featuring Fate of Apex.,"[{""mal_id"": 1, ""name"": ""Harem""}, {""mal_id"": 2, ""name"": ""Supernatural""}, {""mal_id"": 3, ""name"": ""Horror""}]","[{""mal_id"": 1, ""name"": ""J.C.Staff""}]",60,2026-01-01,,1
67,Echoes of Horizon,Echoes of Horizon,Special,Visual novel,26,Finished Airing,6.68,43564,8290,10610,226598,22372,An epic military adventure featuring Echoes of Horizon.,"[{""mal_id"": 1, ""name"": ""Military""}, {""mal_id"": 2, ""name"": ""Cyberpunk""}, {""mal_id"": 3, ""name"": ""Shojo""}]","[{""mal_id"": 1, ""name"": ""Silver Link.""}]",61,2026-01-01,,1
68,Chronicles of Chronos,Chronicles of Chronos,ONA,Visual novel,50,Not yet aired,5.16,283701,9708,4398,566858,21132,An epic drama adventure featuring Chronicles of Chronos.,"[{""mal_id"": 1, ""name"": ""Drama""}, {""mal_id"": 2, ""name"": ""Mecha""}, {""mal_id"": 3, ""name"": ""Supernatural""}, {""mal_id"": 4, ""name"": ""Josei""}]","[{""mal_id"": 1, ""name"": ""P.A. Works""}, {""mal_id"": 2, ""name"": ""Production I.G""}]",62,2026-01-01,,1
69,Echoes of Eclipse,Echoes of Eclipse,TV,Visual novel,26,Finished Airing,7.51,397899,7989,3476,575267,23263,An epic parody adventure featuring Echoes of Eclipse.,"[{""mal_id"": 1, ""name"": ""Parody""}, {""mal_id"": 2, ""name"": ""Music""}, {""mal_id"": 3, ""name"": ""Romance""}]","[{""mal_id"": 1, ""name"": ""Silver Link.""}, {""mal_id"": 2, ""name"": ""Doga Kobo""}]",63,2026-01-01,,1
70,Kingdom of Titan,Kingdom of Titan,ONA,Web manga,24,Not yet aired,6.09,253580,7801,10583,467665,32176,An epic parody adventure featuring Kingdom of Titan.,"[{""mal_id"": 1, ""name"": ""Parody""}, {""mal_id"": 2, ""name"": ""Shojo""}, {""mal_id"": 3, ""name"": ""Space""}]","[{""mal_id"": 1, ""name"": ""Trigger""}, {""mal_id"": 2, ""name"": ""Sunrise""}]",64,2026-01-01,,1
71,Overlord Valhalla,Overlord Valhalla,Special,Original,100,Not yet aired,6.73,255623,8699,5633,417163,27895,An epic slice of life adventure featuring Overlord Valhalla.,"[{""mal_id"": 1, ""name"": ""Slice of Life""}]","[{""mal_id"": 1, ""name"": ""CloverWorks""}]",65,2026-01-01,,1
72,Cyber Specter,Cyber Specter,Movie,Game,100,Currently Airing,7.8,194643,9660,8596,296065,39121,An epic sci-fi adventure featuring Cyber Specter.,"[{""mal_id"": 1, ""name"": ""Sci-Fi""}, {""mal_id"": 2, ""name"": ""Slice of Life""}, {""mal_id"": 3, ""name"": ""Romance""}, {""mal_id"": 4, ""name"": ""Drama""}]","[{""mal_id"": 1, ""name"": ""wit Studio""}]",66,2026-01-01,,1
73,Infinite Horizon,Infinite Horizon,Movie,Original,1,Finished Airing,7.73,15335,9067,4787,296375,8285,An epic slice of life adventure featuring Infinite Horizon.,"[{""mal_id"": 1, ""name"": ""Slice of Life""}, {""mal_id"": 2, ""name"": ""Romance""}]","[{""mal_id"": 1, ""name"": ""J.C.Staff""}, {""mal_id"": 2, ""name"": ""MAPPA""}]",67,2026-01-01,,1
74,Beyond Horizon,Beyond Horizon,TV,Novel,12,Currently Airing,5.26,265242,8057,1214,516709,37825,An epic shounen adventure featuring Beyond Horizon.,"[{""mal_id"": 1, ""name"": ""Shounen""}]","[{""mal_id"": 1, ""name"": ""Shaft""}, {""mal_id"": 2, ""name"": ""Studio Ghibli""}]",68,2026-01-01,,1
75,Legend of Starlight,Legend of Starlight,ONA,Web manga,24,Not yet aired,9.2,124705,6233,7382,418295,29024,An epic martial arts adventure featuring Legend of Starlight.,"[{""mal_id"": 1, ""name"": ""Martial Arts""}, {""mal_id"": 2, ""name"": ""Shounen""}]","[{""mal_id"": 1, ""name"": ""Toei Animation""}, {""mal_id"": 2, ""name"": ""Bones""}]",69,2026-01-01,,1
76,Infinite Chronos,Infinite Chronos,Movie,Light novel,12,Finished Airing,6.19,85631,44,6694,168974,29534,An epic shounen adventure featuring Infinite Chronos.,"[{""mal_id"": 1, ""name"": ""Shounen""}, {""mal_id"": 2, ""name"": ""Shojo""}, {""mal_id"": 3, ""name"": ""Adventure""}]","[{""mal_id"": 1, ""name"": ""Kyoto Animation""}]",70,2026-01-01,,1
